Date,Value
2017-09-30,1658.0
2017-08-31,1643.0
2017-07-31,1625.0
2017-06-30,1616.0
2017-05-31,1613.0
2017-04-30,1615.0
2017-03-31,1621.0
2017-02-28,1632.0
2017-01-31,1640.0
2016-12-31,1638.0
2016-11-30,1626.0
2016-10-31,1608.0
2016-09-30,1590.0
2016-08-31,1589.0
2016-07-31,1592.0
2016-06-30,1596.0
2016-05-31,1594.0
2016-04-30,1594.0
2016-03-31,1593.0
2016-02-29,1588.0
2016-01-31,1583.0
2015-12-31,1576.0
2015-11-30,1575.0
2015-10-31,1579.0
2015-09-30,1580.0
2015-08-31,1592.0
2015-07-31,1598.0
2015-06-30,1593.0
2015-05-31,1580.0
2015-04-30,1562.0
2015-03-31,1549.0
2015-02-28,1538.0
2015-01-31,1534.0
2014-12-31,1535.0
2014-11-30,1536.0
2014-10-31,1539.0
2014-09-30,1531.0
2014-08-31,1523.0
2014-07-31,1517.0
2014-06-30,1514.0
2014-05-31,1518.0
2014-04-30,1520.0
2014-03-31,1521.0
2014-02-28,1527.0
2014-01-31,1536.0
2013-12-31,1550.0
2013-11-30,1561.0
2013-10-31,1572.0
2013-09-30,1579.0
2013-08-31,1580.0
2013-07-31,1573.0
2013-06-30,1561.0
2013-05-31,1545.0
2013-04-30,1534.0
2013-03-31,1522.0
2013-02-28,1512.0
2013-01-31,1498.0
2012-12-31,1483.0
2012-11-30,1469.0
2012-10-31,1462.0
2012-09-30,1454.0
2012-08-31,1453.0
2012-07-31,1462.0
2012-06-30,1469.0
2012-05-31,1475.0
2012-04-30,1471.0
2012-03-31,1465.0
2012-02-29,1457.0
2012-01-31,1455.0
2011-12-31,1450.0
2011-11-30,1444.0
2011-10-31,1431.0
2011-09-30,1419.0
2011-08-31,1409.0
2011-07-31,1402.0
2011-06-30,1405.0
2011-05-31,1414.0
2011-04-30,1431.0
2011-03-31,1442.0
2011-02-28,1445.0
2011-01-31,1435.0
2010-12-31,1432.0
2010-11-30,1434.0
